Language,Category,Aspect,Count,Negative,Neutral,Positive
German,Professor,wort,54,35,12,7
German,Professor,zeit,298,192,75,31
German,Unknown,arbeit,200,106,61,33
German,Unknown,arbeitsbedingung,156,107,37,12
German,Unknown,arbeitsvertrag,75,41,26,8
German,Unknown,befristung,108,63,39,6
German,Unknown,beitrag,59,27,15,17
German,Unknown,bereich,69,41,23,5
German,Unknown,bildung,62,43,13,6
German,Unknown,chance,70,43,12,15
German,Unknown,deutschland,112,80,19,13
German,Unknown,diskussion,63,35,16,12
German,Unknown,druck,52,40,7,5
German,Unknown,erfahrung,60,36,21,3
German,Unknown,familie,62,40,12,10
German,Unknown,forschung,256,162,74,20
German,Unknown,frage,85,44,38,3
German,Unknown,geld,139,107,25,7
German,Unknown,gesellschaft,74,51,20,3
German,Unknown,gesetz,58,39,17,2
German,Unknown,grund,64,48,12,4
German,Unknown,hanna,187,105,47,35
German,Unknown,hochschule,147,81,51,15
German,Unknown,jahr,648,369,194,85
German,Unknown,job,157,109,27,21
German,Unknown,karriere,98,65,24,9
German,Unknown,kind,104,73,24,7
German,Unknown,kollege,87,46,25,16
German,Unknown,land,72,48,14,10
German,Unknown,leute,157,110,32,15
German,Unknown,mensch,213,155,41,17
German,Unknown,mittelbau,84,46,33,5
German,Unknown,monat,116,67,38,11
German,Unknown,nachwuchs,67,42,22,3
German,Unknown,person,51,31,17,3
German,Unknown,perspektive,78,47,24,7
German,Unknown,politik,68,42,20,6
German,Unknown,post,54,24,24,6
German,Unknown,postdoc,88,57,25,6
German,Unknown,problem,232,191,29,12
German,Unknown,prof,82,51,20,11
German,Unknown,professor,78,57,16,5
German,Unknown,professur,112,74,28,10
German,Unknown,projekt,69,36,22,11
German,Unknown,promotion,198,125,52,21
German,Unknown,sache,53,31,12,10
German,Unknown,semester,64,40,14,10
German,Unknown,situation,59,40,16,3
German,Unknown,stelle,183,112,54,17
German,Unknown,studium,147,97,26,24
German,Unknown,stunde,53,21,25,7
German,Unknown,system,198,145,33,20
German,Unknown,tag,123,63,27,33
German,Unknown,thema,151,77,49,25
German,Unknown,uhr,51,18,31,2
German,Unknown,uni,399,267,91,41
German,Unknown,universität,130,72,48,10
German,Unknown,vertrag,196,104,75,17
German,Unknown,wirtschaft,72,47,20,5
German,Unknown,wissenschaft,469,270,139,60
German,Unknown,wissenschaftler,201,142,44,15
German,Unknown,wissenschaftssystem,53,36,13,4
German,Unknown,woche,95,47,34,14
German,Unknown,zeit,190,119,50,21
German,Unknown,zukunft,55,28,15,12
