lemma,PoS,sentiment,weight,
abbaubank,N,0.053288405,3.533015822,
abbaubar,AJ,-0.036863627,3.533015822,
abbaubegleitstrecke,N,0.004291839,3.533015822,
abbaubetrieb,N,-0.024987408,3.533015822,
abbauen,V,-0.509457167,11.98261076,
abbauer,V,0.035330454,3.533015822,
abbaufeld,N,0.004138928,3.533015822,
abbauhöhe,N,-0.030284723,3.533015822,
abbaukinetik,N,-0.01700392,3.533015822,
abbaumaschine,N,-0.002221677,3.533015822,
abbauresistente,V,-0.829953431,3.533015822,
abbaustoffwechsel,N,-0.032483547,3.533015822,
abbaustoß,N,-0.037107882,3.533015822,
abbaustrecke,N,-0.015571918,3.533015822,
abbauwand,N,-0.043067279,3.533015822,
abbauwürdig,AJ,0.911401623,6.687792676,
abbauwürdigkeit,N,0.073773233,3.533015822,
abbauzwischenprodukt,N,-0.008761237,3.533015822,
abbe-zahl,N,0.000856891,3.533015822,
abbedingen,V,-0.108210158,3.533015822,
abbeizen,V,-0.025806572,3.533015822,
abbeizmittel,N,0.009604553,3.533015822,
abbekommen,V,-0.114438129,3.533015822,
abberufen,V,-0.407136198,6.584443702,
abberufung,N,-0.032759175,3.533015822,
abbesche,N,0.016104831,3.533015822,
abbestellen,V,-0.002345822,3.533015822,
abbestellung,N,-0.029447993,3.533015822,
abbetteln,V,0.065053327,3.533015822,
abbiegen,N,0.013188292,3.533015822,
abbiegen,V,-0.106968548,3.533015822,
abbiegend,AJ,-0.028498858,3.533015822,
abbiegung,N,-0.074408147,3.533015822,
abbild,N,-0.019416116,6.687792676,
abbildbar,AJ,0.00369443,3.533015822,
abbilden,V,0.005836365,3.533015822,
abbildung,N,-0.038050709,3.533015822,
abbildungsbedingung,N,0.006638997,3.533015822,
abbildungsfehler,N,-0.503201626,6.687792676,
abbildungsgüte,N,0.000520385,3.533015822,
abbildungskriterium,N,0.006638997,3.533015822,
abbildungsspule,N,0.016923248,3.533015822,
abbildverzerrung,N,-0.911401623,6.687792676,
abbinden,V,-0.504397884,6.687792676,
abbindend,AJ,-0.003989736,3.533015822,
abbindeschnur,N,-0.005109268,3.533015822,
abbindezeit,N,-0.01910005,3.533015822,
abbindung,N,0.012018074,3.533015822,
abbitte,N,0.379824566,6.584443702,
abbitten,V,0.002952344,3.533015822,
abblasen,V,-0.018043769,3.533015822,
abblasventil,N,-0.041168761,3.533015822,
abblasvorrichtung,N,-0.01040081,3.533015822,
abblendlicht,N,-0.006076587,3.533015822,
abblendschalter,N,0.007952506,3.533015822,
abblendung,N,-0.491396282,6.687792676,
abblitzen,V,-0.829953431,3.533015822,
abblocken,V,-1.213889356,6.687792676,
abblättern,V,-0.005324409,3.533015822,
abblätternd,AJ,-0.006436687,3.533015822,
abblätterung,N,-0.028664766,3.533015822,
abbohrung,N,-0.470694855,6.687792676,
abbrand,N,-0.038768785,3.533015822,
abbrechen,V,-0.595127823,6.687792676,
abbremsen,V,-0.094554934,3.533015822,
abbremsplatz,N,0.006021511,3.533015822,
abbremsung,N,-0.110091746,3.533015822,
abbrennstumpfschweißen,N,0.00962912,3.533015822,
abbreviatur,N,-0.028983385,3.533015822,
abbringen,V,-0.523117879,6.687792676,
abbruch,N,-0.461566077,11.98261076,
abbruchgenehmigung,N,-0.130608112,3.533015822,
abbruchkante,N,-0.017698093,3.533015822,
abbruchmakro,N,0.001216023,3.533015822,
abbruchquote,N,-0.029447993,3.533015822,
abbruchreif,AJ,-0.523212583,6.687792676,
abbruchstelle,N,-0.911401623,6.687792676,
abbruchunternehmen,N,-0.107717166,3.533015822,
abbrummen,V,-0.730753767,4.943675684,
abbröckeln,V,-0.911401623,6.687792676,
abbrühen,V,-0.829953431,3.533015822,
abbuchen,V,0.023110468,3.533015822,
abbuchung,N,-0.014643532,3.533015822,
abbund,NE,-0.026383805,3.533015822,
abbürsten,V,0.002587081,3.533015822,
abbüßen,V,-0.499738986,6.584443702,
abbüßung,N,-0.015825137,3.533015822,
abc-abkommen,N,0.008782484,3.533015822,
abc-analyse,N,0.008782484,3.533015822,
abc-buch,N,0.008782484,3.533015822,
abc-kennzeichen,N,0.008782484,3.533015822,
abc-schütze,N,-0.012415522,3.533015822,
abc-waffen,N,0.008782484,3.533015822,
abc,N,0.006027197,3.533015822,
abchasien,NE,0.005750399,3.533015822,
abdachung,N,-0.020329792,3.533015822,
abdampf,N,-0.516005489,6.687792676,
abdampfen,V,-0.041659761,3.533015822,
abdampfkapelle,N,-0.004842629,3.533015822,
abdampfverlust,N,-0.038405929,3.533015822,
abdanken,V,-0.911401623,6.687792676,
abdanker,N,-0.038600138,3.533015822,
abdankung,N,-0.135650909,3.533015822,
abdechseln,N,0.034296913,3.533015822,
abdeckblech,N,-0.42086211,6.687792676,
abdeckblende,N,0.030585278,3.533015822,
abdecken,V,-0.508030508,6.687792676,
abdecker,N,-0.028754152,3.533015822,
abdeckerei,N,-0.028754152,3.533015822,
abdeckfolie,N,-0.002594219,3.533015822,
abdeckgitter,N,-0.016086248,6.687792676,
abdeckhaube,N,0.001934443,3.533015822,
abdeckhülle,N,-0.037153363,3.533015822,
abdeckkappe,N,-0.006429815,3.533015822,
abdecklack,N,0.020131765,3.533015822,
abdeckmaske,N,-0.037153363,3.533015822,
abdeckplane,N,-0.002538039,3.533015822,
abdeckrost,N,-0.016086248,6.687792676,
abdeckscheibe,N,-0.002639468,3.533015822,
abdeckschild,N,0.007441039,3.533015822,
abdeckschürze,N,-0.046945403,3.533015822,
abdeckstein,N,0.046128231,3.533015822,
abdeckstopfen,N,-0.043152765,3.533015822,
abdeckung,N,-0.027303763,6.687792676,
abdeckungsblech,N,-0.092718248,3.533015822,
abdestillieren,V,-0.015939671,3.533015822,
abdichten,V,-0.012456688,3.533015822,
abdichtend,V,-0.004347379,3.533015822,
abdichtmittel,N,0.001891082,3.533015822,
abdichtung,N,-0.001479707,3.533015822,
abdichtungsfolie,N,0.021447491,3.533015822,
abdichtungsmanschette,N,0.036910851,3.533015822,
abdichtungsmittel,N,0.001891082,3.533015822,
abdichtungsschicht,N,-0.019390451,3.533015822,
abdingbar,AJ,-0.014867703,3.533015822,
abdingen,V,-0.000771463,3.533015822,
abdizieren,V,-0.829953431,3.533015822,
abdomen,N,0.007725314,3.533015822,
abdominal,V,-0.000346408,3.533015822,
abdominalangina,N,-0.00057154,3.533015822,
abdominale,V,-0.000346408,3.533015822,
abdominalepilepsie,N,-0.026286783,3.533015822,
abdominelle,V,-0.030054855,3.533015822,
abdomino-anal,V,-0.023258034,3.533015822,
abdomino-anteriore,V,0.012623924,3.533015822,
abdomino-perineal,V,-0.003188482,3.533015822,
abdomino-vaginal,V,-0.000845739,3.533015822,
abdomino-vesikal,V,-0.000175848,3.533015822,
abdominoparietale,V,-0.000346408,3.533015822,
abdrehen,V,-0.044048201,3.533015822,
abdrift,N,-0.02397264,3.533015822,
abdrosseln,V,-0.496006151,6.687792676,
abdrosselung,N,-0.04476553,3.533015822,
abdrosslung,N,-0.024600899,3.533015822,
abdruck,N,0.001377835,6.687792676,
abdruckbar,V,0.042885022,3.533015822,
abdrucken,V,0.005960916,3.533015822,
abdruckmasse,N,0.001318232,3.533015822,
abdruckmethode,N,-0.004068598,3.533015822,
abdrucknehmen,N,0,5.047024658,
abdruckverfahren,N,-0.004068598,3.533015822,
abdrücken,V,-0.00251202,3.533015822,
abducken,V,-0.073905859,3.533015822,
abduktion,N,-0.057822773,3.533015822,
abduktionslähmung,N,-0.829953431,3.533015822,
abduktionsmuskel,N,-0.04278634,3.533015822,
abduktionsmuskellähmung,N,-0.829953431,3.533015822,
abduktionsschiene,N,-0.057822773,3.533015822,
abduktor,N,-0.070553096,3.533015822,
abdunkelungsvorrichtung,N,0.007952506,3.533015822,
abdunklung,N,-0.059728595,3.533015822,
abdunsten,N,-0.010166764,3.533015822,
abduzenskern,N,0.01036172,3.533015822,
abduzenslähmung,N,-0.820630398,3.533015822,
abduzensparese,N,-0.066584176,3.533015822,
abduzieren,V,-0.082353457,3.533015822,
abdämmung,N,0.001358244,3.533015822,
abdämpfen,V,-0.12144775,3.533015822,
abebben,V,-0.911401623,6.687792676,
abel-test,N,-0.025822673,3.533015822,
abel,NE,-0.025822673,3.533015822,
abend,N,-0.109006333,3.533015822,
abendandacht,N,0.01591361,3.533015822,
abendausgabe,N,0.008331488,3.533015822,
abendbrot,N,0.00967651,3.533015822,
abenddämmerung,N,-0.017197382,3.533015822,
abendesse,N,0.018781431,3.533015822,
abendgebet,N,0.056421479,3.533015822,
abendgesellschaft,N,0.002456463,3.533015822,
abendglocke,N,-0.028084794,3.533015822,
abendkleid,N,0.025186929,3.533015822,
abendkleidung,N,-0.017808228,3.533015822,
abendland,N,-0.000220919,3.533015822,
abendlicht,N,-0.041490866,3.533015822,
abendländerin,N,-0.000220919,3.533015822,
abendländisch,AJ,0.000864762,3.533015822,
abendländisch,N,-0.051107453,3.533015822,
abendläuten,N,-0.028084794,3.533015822,
abendmahl,N,0.084924155,3.533015822,
abendmahlsbrot,N,0.056424052,3.533015822,
abendmahlsgottesdienst,N,0.829953431,3.533015822,
abendmahlskelch,N,-0.001011896,3.533015822,
abendmesse,N,0.01591361,3.533015822,
abendmusik,N,-0.015681721,3.533015822,
abendrot,N,0.011984943,3.533015822,
abendröte,N,0.053475808,3.533015822,
abendstern,N,-0.00357119,3.533015822,
abendzeit,N,0.002250709,3.533015822,
abendzeitung,N,0.023345262,3.533015822,
abenteuer,N,-0.030239955,6.687792676,
abenteuerin,N,-0.001999939,3.533015822,
abenteuerlich,AJ,0.885501236,9.739220557,
abenteuerlichkeit,N,-0.404062539,6.687792676,
abenteuerlust,N,0.730753767,4.943675684,
abenteuerlustig,AJ,0.911401623,6.687792676,
abenteuernatur,N,-0.015386258,3.533015822,
abenteuerpolitik,N,-0.517003744,6.687792676,
abenteuerspielplatz,N,0.021365906,3.533015822,
abenteuertum,N,-0.083381271,3.533015822,
abenteurer,N,-0.015386258,3.533015822,
abenteurerin,N,-0.015386258,3.533015822,
abenteurernatur,N,-0.015386258,3.533015822,
aber,KON,-0.013914754,6.687792676,
aberglaube,N,-0.911401623,6.687792676,
abergläubig,AJ,-0.911401623,6.687792676,
abergläubisch,AJ,-0.885501236,9.739220557,
aberkennen,V,-0.861306547,6.687792676,
aberkennung,N,-0.911401623,6.687792676,
abermalig,AJ,-0.053129054,3.533015822,
abermals,AV,0.103081046,3.533015822,
abernten,V,0.052032519,3.533015822,
aberration,N,-0.503201626,6.687792676,
aberregen,V,-0.054855606,3.533015822,
aberregung,N,0.036754156,3.533015822,
aberrierend,V,-0.028593556,3.533015822,
aberrierende,V,-0.028593556,3.533015822,
aberwitz,N,-0.12634962,3.533015822,
aberwitzig,AJ,-0.885501236,9.739220557,
abessinien,N,-0.001481757,3.533015822,
abessinier,N,-0.001481757,3.533015822,
abfackeln,V,-0.042495193,3.533015822,
abfahrbar,V,0.002211203,3.533015822,
abfahren,V,0.002211203,3.533015822,
abfahrend,V,0.042748909,3.533015822,
abfahrt,N,-0.022851689,3.533015822,
abfahrtshafen,N,-0.014923061,3.533015822,
abfahrtsrennen,N,-0.046939261,3.533015822,
abfahrtsstrecke,N,-0.004555125,3.533015822,
abfahrvorgang,N,0.00597754,3.533015822,
abfall,N,-0.631142242,6.687792676,
abfallbehälter,N,0.003990557,3.533015822,
abfallbeseitigung,N,-0.993986513,6.584443702,
abfallbrennstoff,N,-0.911401623,6.687792676,
abfallcharakterisierung,N,0.00525031,3.533015822,
abfalldesinfektion,N,-0.040349846,3.533015822,
abfalleimer,N,0.003990557,3.533015822,
abfallen,V,-0.105536878,3.533015822,
abfallend,AJ,-0.030526824,3.533015822,
abfallentsorgung,N,0.365376884,4.943675684,
abfallgrube,N,-0.829953431,3.533015822,
abfallhaufe,N,-0.051751331,3.533015822,
abfallholz,N,-0.090487333,3.533015822,
abfallkorb,N,-0.502048574,6.687792676,
abfallmühle,N,-0.058668993,3.533015822,
abfallneutralisation,N,-0.095003109,3.533015822,
abfallprodukt,N,-0.47253963,6.687792676,
abfallquote,N,-0.911401623,6.687792676,
abfallreduzierung,N,-0.022381271,3.533015822,
abfallreiniger,N,0.012893991,3.533015822,
abfallsicherheitsfaktor,N,-0.037677313,3.533015822,
abfallstoff,N,-0.490772592,6.687792676,
abfallstreifen,N,0.034296913,3.533015822,
abfallstutzen,N,-0.520757722,6.687792676,
abfallstück,N,-0.911401623,6.687792676,
abfallverbrennung,N,-0.021997833,3.533015822,
abfallverbrennungsanlage,N,-0.005215344,3.533015822,
abfallverbrennungsgebiet,N,-0.021997833,3.533015822,
abfallverbrennungsofen,N,-0.005215344,3.533015822,
abfallverwertung,N,0.017364784,3.533015822,
abfallwirtschaft,N,-0.730753767,4.943675684,
abfangeisen,N,-0.018233911,3.533015822,
abfangen,V,-0.057333764,3.533015822,
abfangjäger,N,-0.032196798,3.533015822,
abfanglandung,N,-0.026386294,3.533015822,
abfangrakete,N,-0.032196798,3.533015822,
abfangschirm,N,0.911401623,6.687792676,
abfasen,V,-0.016308419,3.533015822,
abfassen,V,0.009009867,3.533015822,
abfassung,N,0.031911377,3.533015822,
abfasung,N,0.000648719,3.533015822,
abfedern,V,-0.037268187,3.533015822,
abfeimen,V,0.000469339,3.533015822,
abfeimstein,N,-0.023166739,3.533015822,
abferkeln,V,-0.829953431,3.533015822,
abfertigen,V,-0.27249381,6.584443702,
abfertiger,N,0.012854402,3.533015822,
abfertigung,N,-0.128889361,3.533015822,
abfertigungsschalter,N,0.000181745,3.533015822,
abfeuern,N,-0.730753767,4.943675684,
abfeuern,V,-0.077092216,3.533015822,
abfinden,V,0.742858149,6.687792676,
abfindung,N,0.822718992,3.533015822,
abfindungssumme,N,0.028678003,3.533015822,
abfindungszahlung,N,-0.123338383,3.533015822,
abflachen,V,0.004073636,3.533015822,
abflachung,N,-0.009569585,3.533015822,
abflammen,V,0.028875159,3.533015822,
abflammung,N,-0.029733497,3.533015822,
abflauen,V,-0.911401623,6.687792676,
abfliegen,V,-0.128708348,3.533015822,
abfliegend,V,0.042748909,3.533015822,
abfließen,V,-0.097616633,3.533015822,
abfließend,AJ,0.041506303,3.533015822,
abfluchten,V,0.093821256,3.533015822,
abflug,N,-0.101957289,3.533015822,
abflugschalter,N,0.000181745,3.533015822,
abflussbeiwert,N,-0.000634336,3.533015822,
abflussberechnung,N,-0.07200842,3.533015822,
abflussgraben,N,-0.4866679,6.687792676,
abflusshahn,N,-0.030732678,3.533015822,
abflusskühler,N,-0.005653037,3.533015822,
abfluß,N,-0.482064739,6.687792676,
abflußkanal,N,-0.025957292,3.533015822,
abflußrinne,N,-0.027836389,3.533015822,
abflußrohr,N,-0.016840892,3.533015822,
abfohlen,V,-0.006607683,3.533015822,
abfolge,N,0.016747298,3.533015822,
abfordern,V,-0.016139191,3.533015822,
abfordernd,AJ,-0.062301699,3.533015822,
abforderung,N,-0.458228601,6.687792676,
abformen,V,-0.038670601,3.533015822,
abformung,N,-0.512839161,6.687792676,
abforsten,V,0.020065535,3.533015822,
abforstung,N,0.00631939,3.533015822,
abfragebefehl,N,-0.013892258,3.533015822,
abfrageeinrichtung,N,-0.000988724,3.533015822,
abfragefrequenz,N,-0.013892258,3.533015822,
abfragekriterium,N,0.035358174,3.533015822,
abfragemodus,N,-0.013892258,3.533015822,
abfragen,N,0.030682548,3.533015822,
abfragen,V,0.007304611,3.533015822,
abfrager,N,-0.017936539,3.533015822,
abfrageschalter,N,-0.026446632,3.533015822,
abfragesender,N,-0.026144944,3.533015822,
abfressen,V,-0.013436282,3.533015822,
abfrieren,V,-0.026547388,3.533015822,
abfräsen,V,-0.017598665,3.533015822,
abfuhr,N,-0.911401623,6.687792676,
abfuhrwagen,N,-0.037981906,3.533015822,
abfunkeinrichtung,N,0.051561106,3.533015822,
abfädeln,V,-0.04024826,3.533015822,
abfällig,AJ,-0.808796394,11.98261076,
abfällig,V,-0.626711125,5.047024658,
abfälligkeit,N,-0.730753767,4.943675684,
abfälschen,V,-0.829953431,3.533015822,
abfänger,N,-0.032196798,3.533015822,
abfärben,V,0.003503416,3.533015822,
abförderung,N,-0.031722978,3.533015822,
abfühlen,V,0.059749426,3.533015822,
abfühlnadel,N,-0.016462292,3.533015822,
abfühlstift,N,-0.016462292,3.533015822,
abführen,V,0.019080048,3.533015822,
abführend,AJ,0.002580475,3.533015822,
abführkanal,N,0.000401448,3.533015822,
abführmittel,N,0.00461367,3.533015822,
abführung,N,0.077436149,3.533015822,
abfüllanlage,N,-0.001953221,3.533015822,
abfüllcharge,N,0.00040289,3.533015822,
abfüllen,V,0.027566239,3.533015822,
abfüller,N,0.000397296,3.533015822,
abfüllerfirma,N,-0.056845173,3.533015822,
abfüllkompaktanlage,N,-0.001953221,3.533015822,
abfüllung,N,0.015100505,3.533015822,
abfütterung,N,0.007840761,3.533015822,
abgabe,N,-0.465440562,6.687792676,
abgabefrei,AJ,-0.062834363,3.533015822,
abgabefrist,N,0.012416684,3.533015822,
abgabeland,N,-0.009518238,3.533015822,
abgabenfrei,AJ,-0.062834363,3.533015822,
abgabenpflichtig,AJ,-0.009514586,3.533015822,
abgabepflichtig,AJ,0.01240963,3.533015822,
abgabetermin,N,0.012416684,3.533015822,
abgang,N,-0.793928823,6.687792676,
abgangsgeld,N,-0.143519697,3.533015822,
abgangskasten,N,0.018211253,3.533015822,
abgangsschreiben,N,-0.029447993,3.533015822,
abgangszeugnis,N,0.063919112,3.533015822,
abgas,N,-0.500196164,6.687792676,
abgasdiffusor,N,-0.053245413,3.533015822,
abgasendrohr,N,-0.004952706,3.533015822,
abgasfahne,N,0.014007622,3.533015822,
abgaskanal,N,-0.911401623,6.687792676,
abgasklappe,N,-0.034191177,3.533015822,
abgasreinigungsanlage,N,-0.000458506,3.533015822,
abgasrückführung,N,-0.00670121,3.533015822,
abgastrübung,N,-0.031632098,3.533015822,
abgasturboaufgeladen,V,-0.019953989,3.533015822,
abgasturbola[abk.:,N,0.031456397,3.533015822,
abgasturbolader,N,-0.008817508,3.533015822,
abgasvorwärmer,N,0.011325213,3.533015822,
abgeben,V,0.002654062,3.533015822,
abgebend,V,0.057414933,3.533015822,
abgebildet,AJ,-0.008792693,3.533015822,
abgebrannt,AJ,-0.629253773,9.739220557,
abgebrüht,AJ,-0.67745035,9.739220557,
abgebrühtheit,N,-0.730753767,4.943675684,
abgedeckt,AJ,-0.067566841,3.533015822,
abgedreht,AJ,-0.730753767,4.943675684,
abgedroschen,AJ,-0.782378135,6.687792676,
abgedroschenheit,N,-0.561380918,6.584443702,
abgefahren,AJ,0.431938741,6.687792676,
abgefeimt,AJ,-0.054398053,3.533015822,
abgeflacht,V,-0.005209726,3.533015822,
abgegrenzt,V,0.017878276,3.533015822,
abgehen,V,0.003420495,3.533015822,
abgehend,AJ,0.886363641,6.687792676,
abgehend,V,0.829953431,3.533015822,
abgehoben,AJ,-0.365376884,4.943675684,
abgehärmt,AJ,-0.511527637,4.943675684,
abgehärtet,AJ,0.511527637,4.943675684,
abgekartet,V,-0.003287363,3.533015822,
abgeklärt,AJ,0.365376884,4.943675684,
abgeklärtheit,N,0.552041749,6.687792676,
abgekürzt,V,-0.015536977,3.533015822,
abgelaufen,V,-0.829953431,3.533015822,
abgeld,N,0.045517883,3.533015822,
abgelegen,AJ,-0.762640675,6.687792676,
abgelegenheit,N,-0.004533828,3.533015822,
abgelegt,V,-0.003208608,3.533015822,
abgeleitet,AJ,0.001057942,3.533015822,
abgeleitet,V,-0.003569082,3.533015822,
abgelten,V,-0.034508829,6.687792676,
abgeltung,N,0.829953431,3.533015822,
abgemagert,AJ,-0.730753767,4.943675684,
abgemergelt,AJ,-0.730753767,4.943675684,
abgeneigtheit,N,-0.425975987,6.584443702,
abgeordnet,AJ,0.016610688,3.533015822,
abgeordnete,N,-0.004615039,3.533015822,
abgeordnetenbank,N,0.053288405,3.533015822,
abgeordnetenhaus,N,0.008318623,3.533015822,
abgepackt,V,0.014899158,3.533015822,
abgepasste,V,0.006385653,3.533015822,
abgeplattetes,V,0.005060239,3.533015822,
abgerechnet,V,0.051155757,3.533015822,
abgereichert,AJ,-0.109475007,3.533015822,
abgereichert,V,-0.109475007,3.533015822,
abgerissen,AJ,-0.730753767,4.943675684,
abgerissenheit,N,-0.077795685,3.533015822,
abgesandte,N,-0.02106123,3.533015822,
abgeschieden,AJ,-0.511527637,4.943675684,
abgeschiedenheit,N,-0.500873404,9.739220557,
abgeschirmt,V,-0.037153944,3.533015822,
abgeschlagenheit,N,-0.911401623,6.687792676,
abgeschliffen,V,-0.002050873,3.533015822,
abgeschlossenheit,N,0.459168762,6.687792676,
abgeschmackt,AJ,-0.516995413,6.687792676,
abgeschmacktheit,N,-0.565553198,6.584443702,
abgeschnitten,V,-0.04464278,3.533015822,
abgeschnitzelt,V,-0.047701241,3.533015822,
abgeschrieben,V,0.023110468,3.533015822,
abgeschrägt,V,-0.029458201,3.533015822,
abgeschwelktes,V,0.004852655,3.533015822,
abgesetzt,V,-0.001716725,3.533015822,
abgespannt,AJ,-0.365376884,4.943675684,
abgespannt,V,-0.026186027,3.533015822,
abgespanntheit,N,-0.716891995,9.739220557,
abgestanden,AJ,-0.394886096,7.187065888,
abgestanden,V,-0.511527637,4.943675684,
abgestandenheit,N,-0.020499518,3.533015822,
abgestimmt,AJ,0.05735028,3.533015822,
abgestimmt,V,0.05735028,3.533015822,
abgestumpftheit,N,-0.996781485,9.739220557,
abgesättigt,V,0.031965739,3.533015822,
abgetragen,V,-0.002050873,3.533015822,
abgewandert,V,-0.035779292,3.533015822,
abgewertet,V,-0.050112422,3.533015822,
abgewickelt,V,0.062522218,3.533015822,
abgewogen,AJ,0.511527637,4.943675684,
abgewöhnen,V,0.736787838,3.533015822,
abgewöhnung,N,0.829953431,3.533015822,
abgezehrt,AJ,-0.730753767,4.943675684,
abgezinst,V,-0.028235597,3.533015822,
abgezockt,AJ,-0.730753767,4.943675684,
abgezogen,V,-0.004495011,3.533015822,
abgießen,V,0.024712461,3.533015822,
abglanz,N,0.038878173,3.533015822,
abgleich,N,0.506169119,6.687792676,
abgleichbohle,N,-0.016581889,3.533015822,
abgleichen,V,0.493935719,6.687792676,
abgleichkondensator,N,0.001316364,3.533015822,
abgleiten,V,-0.544952071,6.687792676,
abgleitung,N,-0.120788103,3.533015822,
abgott,N,0.911401623,6.687792676,
abgrabung,N,-0.485905924,6.687792676,
abgrasen,V,-0.053514567,3.533015822,
abgraten,N,0.034296913,3.533015822,
abgratschneiden,N,-0.022260015,3.533015822,
abgreifen,V,-0.021925046,3.533015822,
abgreifer,N,-0.014118587,3.533015822,
abgreifklemme,N,-0.006775582,3.533015822,
abgrenzbar,V,0.041109004,3.533015822,
abgrenzdatum,N,-0.022733171,3.533015822,
abgrenzen,V,-1.210437432,6.687792676,
abgrenzer,N,-0.024359797,3.533015822,
abgrenzung,N,-0.409561569,6.687792676,
abgrenzungsbeleg,N,-0.053318864,3.533015822,
abgrenzungsposten,N,0.004838844,3.533015822,
abgrenzungsstreitigkeit,N,-0.012255341,3.533015822,
abgrund,N,-0.911401623,6.687792676,
abgrundtief,AJ,-0.608291167,9.739220557,
abgründig,AJ,-0.600395807,11.98261076,
abgründigkeit,N,-0.730753767,4.943675684,
abgunst,N,-0.55513455,6.687792676,
abguß,N,-0.025079284,3.533015822,
abgänger,N,0.003124758,3.533015822,
abgängerin,N,0.003124758,3.533015822,
abgängig,AJ,-0.043857063,3.533015822,
abgötterei,N,0.066479934,3.533015822,
abgöttisch,AJ,0.06462864,3.533015822,
abgünstig,V,-0.911401623,6.687792676,
abhacken,V,-0.776252572,6.687792676,
abhaken,V,0.011259646,3.533015822,
abhakungszeichen,N,0.015611922,3.533015822,
abhalftern,V,-0.730753767,4.943675684,
abhalten,V,-0.829953431,3.533015822,
abhaltung,N,-0.460983798,6.687792676,
abhanden,V,-0.043857063,3.533015822,
abhandlung,N,0.011565152,3.533015822,
abhang,N,-0.027164957,3.533015822,
abhaspeln,V,0.068234707,3.533015822,
abhauen,N,-0.009440803,3.533015822,
abhauen,V,0.002123685,3.533015822,
abheben,N,-0.829953431,3.533015822,
abheben,V,-0.804675015,6.687792676,
abhebevorrichtung,N,-0.034305959,3.533015822,
abhebung,N,-0.112048039,3.533015822,
abheften,V,-0.034035726,3.533015822,
abheilen,V,0.911401623,6.687792676,
abheilung,N,-0.000594118,3.533015822,
abhelfen,V,0.44167158,6.584443702,
abhelfend,AJ,0.110043525,3.533015822,
abhetzen,V,-0.02674915,3.533015822,
abhilfe,N,0.193582081,6.687792676,
abhilfemaßnahme,N,0.911401623,6.687792676,
abhilfeschaffende,V,0.110043525,3.533015822,
abhilfsmaßnahme,N,0.829953431,3.533015822,
abhold,AJ,-0.490828888,6.687792676,
abholen,V,0.005100811,3.533015822,
abholfach,N,-0.026945185,3.533015822,
abholgroßhändler,N,0.025881683,3.533015822,
abholgroßmarkt,N,0.012952751,3.533015822,
abholmarkt,N,0.008489677,3.533015822,
abholrestaurant,N,0.012959474,3.533015822,
abholung,N,0.026194243,3.533015822,
abholzen,V,-0.027925692,3.533015822,
abholzung,N,-0.549564948,6.584443702,
abhorchen,V,0.002572499,3.533015822,
abhorchgerät,N,0.009292159,3.533015822,
abhorreszieren,V,-0.911401623,6.687792676,
abhorreszierte,V,-0.911401623,6.687792676,
abhusten,V,-0.068820568,3.533015822,
abhängen,V,-0.824167394,3.533015822,
abhängig,AJ,-0.38386911,11.98261076,
abhängige,N,-0.067446166,3.533015822,
abhängigkeit,N,-0.723136236,11.98261076,
abhängigkeitssyndrom,N,-0.911401623,6.687792676,
abhängigkeitsverhältnis,N,-0.040112977,3.533015822,
abhärmen,V,-0.5163003,6.687792676,
