Category,Language,Aspect,Count
Lecturer,German,mitarbeiterin,1
Lecturer,German,mittel,6
Lecturer,German,mittelbau,3
Lecturer,German,mittelgeber,3
Lecturer,German,moment,1
Lecturer,German,monat,13
Lecturer,German,monokultur,1
Lecturer,German,motivation,1
Lecturer,German,mut,3
Lecturer,German,mutterschutz,1
Lecturer,German,möglichkeit,2
Lecturer,German,nachdruck,1
Lecturer,German,nachfolger,1
Lecturer,German,nachricht,2
Lecturer,German,nachteil,1
Lecturer,German,nachwuchs,1
Lecturer,German,nacken,1
Lecturer,German,nahrung,1
Lecturer,German,neustrukturierung,1
Lecturer,German,niveau,1
Lecturer,German,nope,1
Lecturer,German,normalbetrieb,1
Lecturer,German,not,1
Lecturer,German,notwendigkeit,2
Lecturer,German,novelle,1
Lecturer,German,nrw,1
Lecturer,German,oberrat,1
Lecturer,German,office,1
Lecturer,German,ohr,1
Lecturer,German,oktober,2
Lecturer,German,opposition,1
Lecturer,German,orientierung,1
Lecturer,German,ortswechsel,1
Lecturer,German,pandemie,2
Lecturer,German,pandemieentwicklung,1
Lecturer,German,papier,1
Lecturer,German,pendler,1
Lecturer,German,pendlerwohnung,1
Lecturer,German,person,2
Lecturer,German,personalabteilung,1
Lecturer,German,personalkosten,1
Lecturer,German,personalwechsel,1
Lecturer,German,perspektive,1
Lecturer,German,perspektivlosigkeit,1
Lecturer,German,pflicht,1
Lecturer,German,phase,2
Lecturer,German,plan,2
Lecturer,German,planungssicherheit,1
Lecturer,German,platz,2
Lecturer,German,politik,1
Lecturer,German,politikbetrieb,1
Lecturer,German,position,1
Lecturer,German,post,4
Lecturer,German,postdoc,1
Lecturer,German,praxis,1
Lecturer,German,predoc,3
Lecturer,German,prekarisierung,1
Lecturer,German,presse,1
Lecturer,German,prinzip,1
Lecturer,German,privileg,4
Lecturer,German,problem,14
Lecturer,German,prof,1
Lecturer,German,professor,1
Lecturer,German,professorin,2
Lecturer,German,professorium,1
Lecturer,German,professur,4
Lecturer,German,profil,1
Lecturer,German,programm,2
Lecturer,German,projekt,4
Lecturer,German,projektbindung,1
Lecturer,German,projektforschung,1
Lecturer,German,projektmittel,1
Lecturer,German,promotion,6
Lecturer,German,promotionsratgeber,1
Lecturer,German,promotionsstelle,1
Lecturer,German,prozent,2
Lecturer,German,prämie,1
Lecturer,German,prüfung,1
Lecturer,German,publikationsdruck,1
Lecturer,German,pädagogin,1
Lecturer,German,qualifikation,1
Lecturer,German,qualifikationsstelle,1
Lecturer,German,qualifiktaionsbegriff,1
Lecturer,German,qualifizierung,1
Lecturer,German,qualität,2
Lecturer,German,rahmen,1
Lecturer,German,rahmenbedingung,1
Lecturer,German,rate,1
Lecturer,German,reaktion,1
Lecturer,German,rechnung,2
Lecturer,German,rede,1
Lecturer,German,reform,1
Lecturer,German,reformierung,1
Lecturer,German,reformvorschlag,1
Lecturer,German,regel,1
Lecturer,German,regelung,4
Lecturer,German,reihe,2
Lecturer,German,reisekosten,1
Lecturer,German,rente,2
Lecturer,German,rentenversicherung,1
Lecturer,German,reproduktion,1
Lecturer,German,research,1
Lecturer,German,resonanz,1
Lecturer,German,respekt,1
Lecturer,German,ressource,2
Lecturer,German,ressourcenfrage,1
Lecturer,German,resturlaub,1
Lecturer,German,risiko,1
Lecturer,German,rolle,1
Lecturer,German,rückkehr,1
Lecturer,German,rückmeldung,1
Lecturer,German,sache,1
Lecturer,German,schieflage,1
Lecturer,German,schilderung,1
Lecturer,German,schritt,2
Lecturer,German,schule,1
Lecturer,German,schuss,1
Lecturer,German,schweden,1
Lecturer,German,schweiz,1
Lecturer,German,schweizerin,1
Lecturer,German,schwerpunkt,1
Lecturer,German,schwierigkeit,1
Lecturer,German,selbstgefälligkeit,1
Lecturer,German,selbstzweifel,1
Lecturer,German,selektion,1
Lecturer,German,semester,5
Lecturer,German,sendung,1
Lecturer,German,september,1
Lecturer,German,sicherheit,1
Lecturer,German,sicht,2
Lecturer,German,simon,1
Lecturer,German,sinn,2
Lecturer,German,situation,5
Lecturer,German,sitz,1
Lecturer,German,skandinavien,1
Lecturer,German,software,1
Lecturer,German,sommer,1
Lecturer,German,sorry,1
Lecturer,German,sowas,1
Lecturer,German,sozialversicherung,1
Lecturer,German,spd,4
Lecturer,German,sprachentwicklung,1
Lecturer,German,sprachgebrauch,1
Lecturer,German,staat,1
Lecturer,German,stadt,1
Lecturer,German,std,1
Lecturer,German,stelle,5
Lecturer,German,stellenausschreibung,1
Lecturer,German,stellenbesetzung,1
Lecturer,German,stelleninhaber,1
Lecturer,German,stellenprofil,1
Lecturer,German,stellensituation,1
Lecturer,German,stellenstruktur,3
Lecturer,German,stellung,2
Lecturer,German,stil,1
Lecturer,German,stimme,2
Lecturer,German,stimmung,1
Lecturer,German,stipendiat,1
Lecturer,German,stipendie,1
Lecturer,German,stipendien,3
Lecturer,German,stipendiengeber,1
Lecturer,German,stipendium,4
Lecturer,German,stockholm,1
Lecturer,German,struktur,3
Lecturer,German,strukturwandel,1
Lecturer,German,stud,1
Lecturer,German,student,1
Lecturer,German,studentin,1
Lecturer,German,studienkredit,1
Lecturer,German,studium,5
Lecturer,German,stunde,2
Lecturer,German,stundenschluessel,1
Lecturer,German,suche,1
Lecturer,German,syndrom,1
Lecturer,German,system,11
Lecturer,German,systemfehler,1
Lecturer,German,systemgewinn,1
Lecturer,German,tag,5
Lecturer,German,tagung,3
Lecturer,German,tagungsprojekt,1
Lecturer,German,tatsache,1
Lecturer,German,teil,2
Lecturer,German,teilzeit,1
Lecturer,German,termin,1
Lecturer,German,text,2
Lecturer,German,thema,4
Lecturer,German,thesis,1
Lecturer,German,thread,16
Lecturer,German,thu,1
Lecturer,German,tochter,1
Lecturer,German,ton,1
Lecturer,German,transparenz,1
Lecturer,German,trend,1
Lecturer,German,tweet,1
Lecturer,German,twitterati,1
Lecturer,German,tätigkeit,2
Lecturer,German,umfeld,1
Lecturer,German,umgang,1
Lecturer,German,ungleichbehandlung,1
Lecturer,German,ungleichheit,1
Lecturer,German,uni,11
Lecturer,German,unibetrieb,1
Lecturer,German,unifundus,1
Lecturer,German,unikarriere,1
Lecturer,German,union,1
Lecturer,German,univ,1
Lecturer,German,universität,7
Lecturer,German,unmut,1
Lecturer,German,unruhe,1
Lecturer,German,unsicherheit,4
Lecturer,German,unsinn,1
Lecturer,German,unterbrechung,1
Lecturer,German,unterhaltung,1
Lecturer,German,unternehmen,1
Lecturer,German,unterschied,1
Lecturer,German,unterstützung,1
Lecturer,German,unvermögen,1
Lecturer,German,unverschämtheit,1
Lecturer,German,unzeit,1
Lecturer,German,urlaub,3
Lecturer,German,urlaubstag,1
Lecturer,German,usa,1
Lecturer,German,verantwortung,6
Lecturer,German,verbrauchsmitteletat,1
Lecturer,German,verfügung,1
Lecturer,German,verhältnis,3
Lecturer,German,verletzung,1
Lecturer,German,verlängerung,3
Lecturer,German,vernetzung,1
Lecturer,German,verpflegung,1
Lecturer,German,versagensangst,1
Lecturer,German,verschiebung,1
Lecturer,German,verschärfung,1
Lecturer,German,versicherung,2
Lecturer,German,verstopfung,1
Lecturer,German,verständnis,2
Lecturer,German,versuch,1
Lecturer,German,vertrag,6
Lecturer,German,vertragsbedingung,1
Lecturer,German,vertragsdruck,1
Lecturer,German,vertragsverlängerung,1
Lecturer,German,vertretung,1
Lecturer,German,verwaltung,2
Lecturer,German,verzeichnis,1
Lecturer,German,verzugszins,2
Lecturer,German,veränderung,1
Lecturer,German,verärgerung,1
Lecturer,German,video,1
Lecturer,German,vielfalt,1
Lecturer,German,vielzahl,1
Lecturer,German,vollzeit,1
Lecturer,German,voraussetzung,1
Lecturer,German,vorbild,1
Lecturer,German,vorlesungszeit,1
Lecturer,German,vorschlag,4
Lecturer,German,vortrag,2
Lecturer,German,wahlkreis,1
Lecturer,German,wahrnehmung,2
Lecturer,German,wandel,1
Lecturer,German,wechsel,1
Lecturer,German,weggang,1
Lecturer,German,weihnachten,2
Lecturer,German,weinset,1
Lecturer,German,weiss,1
Lecturer,German,weiterentwicklung,1
Lecturer,German,welt,2
Lecturer,German,wertschätzung,2
Lecturer,German,wissenschaft,25
Lecturer,German,wissenschaftler,11
Lecturer,German,wissenschaftlerin,2
Lecturer,German,wissenschaftsbetrieb,2
Lecturer,German,wissenschaftskarriere,1
Lecturer,German,wissenschaftsstandort,1
Lecturer,German,wissenschaftssystem,6
Lecturer,German,wm,2
Lecturer,German,woche,3
Lecturer,German,wochenende,2
Lecturer,German,wolfgang,1
Lecturer,German,wort,3
Lecturer,German,zahl,1
Lecturer,German,zahlenverhältnissen,1
Lecturer,German,zeit,11
Lecturer,German,zermürbung,1
Lecturer,German,zins,1
Lecturer,German,zitat,1
Lecturer,German,zukunftsvertrag,1
Lecturer,German,zusammenfassung,1
Lecturer,German,zusammenspiel,1
Lecturer,German,zustand,1
Lecturer,German,zuständigkeit,1
Lecturer,German,zwangsteilzeit,1
Lecturer,German,zweck,1
Lecturer,German,zweifelsfall,1
Lecturer,German,öffentlichkeitsarbeit,1
Lecturer,German,überheblichkeit,1
Lecturer,German,überlastung,1
Lecturer,German,überlegung,1
Lecturer,German,überprüfung,1
Lecturer,German,überschrift,1
Lecturer,English,academia,7
Lecturer,English,academic,2
Lecturer,English,academy,1
Lecturer,English,anxiety,1
Lecturer,English,apparatus,1
Lecturer,English,application,2
Lecturer,English,article,1
Lecturer,English,author,1
Lecturer,English,blog,1
Lecturer,English,career,2
Lecturer,English,case,1
Lecturer,English,century,1
Lecturer,English,change,5
Lecturer,English,class,1
Lecturer,English,combination,1
Lecturer,English,concern,1
Lecturer,English,condition,6
Lecturer,English,cost,1
Lecturer,English,country,1
Lecturer,English,course,1
Lecturer,English,degree,1
Lecturer,English,disadvantage,1
Lecturer,English,distribution,1
Lecturer,English,employment,1
Lecturer,English,expectation,1
Lecturer,English,fear,1
Lecturer,English,finding,1
Lecturer,English,germany,2
Lecturer,English,grant,2
Lecturer,English,hand,1
Lecturer,English,homepage,1
Lecturer,English,house,1
Lecturer,English,impact,1
Lecturer,English,incl,1
Lecturer,English,insecurity,2
Lecturer,English,interview,1
Lecturer,English,issue,1
Lecturer,English,job,3
Lecturer,English,keep,1
Lecturer,English,labour,1
Lecturer,English,language,2
Lecturer,English,law,1
Lecturer,English,light,1
Lecturer,English,lot,1
Lecturer,English,master,1
Lecturer,English,model,1
Lecturer,English,money,1
Lecturer,English,month,2
Lecturer,English,nightmare,1
Lecturer,English,odds,1
Lecturer,English,option,1
Lecturer,English,order,1
Lecturer,English,outcome,1
Lecturer,English,output,1
Lecturer,English,part,1
Lecturer,English,pay,1
Lecturer,English,peer,1
Lecturer,English,people,4
Lecturer,English,perspective,2
Lecturer,English,pervasiveness,1
Lecturer,English,plan,1
Lecturer,English,position,1
Lecturer,English,possibility,1
Lecturer,English,post,1
Lecturer,English,practice,1
Lecturer,English,prep,1
Lecturer,English,privilege,1
Lecturer,English,problem,1
Lecturer,English,project,1
Lecturer,English,publication,2
Lecturer,English,question,1
Lecturer,English,reason,1
Lecturer,English,report,1
Lecturer,English,research,4
Lecturer,English,resource,4
Lecturer,English,respect,1
Lecturer,English,result,1
Lecturer,English,role,1
Lecturer,English,salary,1
Lecturer,English,scandinavia,1
Lecturer,English,scholar,2
Lecturer,English,search,2
Lecturer,English,spite,1
Lecturer,English,staff,1
Lecturer,English,step,1
Lecturer,English,structure,1
Lecturer,English,struggle,1
Lecturer,English,support,1
Lecturer,English,system,3
Lecturer,English,teaching,1
Lecturer,English,thread,3
Lecturer,English,time,4
Lecturer,English,tweet,1
Lecturer,English,uncertainty,1
Lecturer,English,university,2
Lecturer,English,view,1
Lecturer,English,work,4
Lecturer,English,year,3
Others,German,aaaaaahhhh,1
Others,German,aaalso,1
Others,German,aachen,2
Others,German,ab,1
Others,German,abbau,6
Others,German,abbruch,2
Others,German,abbruchgedanke,1
Others,German,abbruchquote,2
Others,German,abdeckung,1
Others,German,abelismu,1
Others,German,abend,1
Others,German,abendland,1
Others,German,abendschule,1
Others,German,abenteuer,1
Others,German,abfall,1
Others,German,abfertigung,1
Others,German,abgabe,8
Others,German,abgabedatum,1
Others,German,abgang,2
Others,German,abgeordnetenhaus,2
Others,German,abgeschl,1
Others,German,abgrund,2
Others,German,abhilfe,3
Others,German,abhängigkeit,14
Others,German,abhängigkeitsverhältnis,8
Others,German,abhängigleitsverhältnisse,1
Others,German,abitur,1
Others,German,abiturientin,1
Others,German,abkehr,2
Others,German,ablauf,7
Others,German,ablehnung,1
Others,German,ableismu,1
Others,German,ablenkung,4
Others,German,ablenkungsversuch,1
Others,German,ablösung,2
Others,German,abmachung,1
Others,German,abnahme,1
Others,German,abneigung,1
Others,German,abnutzung,1
Others,German,abo,1
Others,German,about,2
Others,German,abs,6
Others,German,absage,8
Others,German,absatz,5
Others,German,abschaffung,23
Others,German,abschiedsvorlesung,2
Others,German,abschluss,23
Others,German,abschlussaktion,1
Others,German,abschlussarbeit,5
Others,German,abschlusspanel,1
Others,German,abschlussrunde,1
Others,German,abschlussstipendien,1
Others,German,abschluß,7
Others,German,abschnitt,1
Others,German,abschreckung,1
Others,German,abschwung,1
Others,German,absicherung,8
Others,German,absicht,2
Others,German,absichtserklärung,1
Others,German,absolvent,6
Others,German,absolventin,1
Others,German,abstand,4
Others,German,abstieg,1
Others,German,abstiegsgesellschaft,1
Others,German,abstimmung,2
Others,German,absurdistan,1
Others,German,absurdität,4
Others,German,abt,1
Others,German,abteil,1
Others,German,abteilung,1
Others,German,abteilungsleiter,1
Others,German,abwanderung,3
Others,German,abwechslung,1
Others,German,abwehrkampf,1
Others,German,abweichung,3
Others,German,abwesenheit,4
Others,German,abwicklung,1
Others,German,academia,9
Others,German,academic,1
Others,German,acces,1
Others,German,account,6
Others,German,ach,14
Others,German,achim,2
Others,German,achtung,5
Others,German,acker,1
Others,German,actioninstanceid,1
Others,German,ad,2
Others,German,adaption,1
Others,German,add,1
Others,German,addon,1
Others,German,adler,2
Others,German,admin,1
Others,German,administration,4
Others,German,adorno,2
Others,German,adresse,2
Others,German,advent,1
Others,German,adw,1
Others,German,aegypten,1
Others,German,aethiopien,1
Others,German,afair,1
Others,German,afd,8
Others,German,affen,1
Others,German,affine,1
Others,German,affirmation,1
Others,German,agenda,7
Others,German,agentur,2
Others,German,agrarwirtschaft,1
Others,German,agree,1
Others,German,ahahahahahaa,1
Others,German,ahmed,1
Others,German,ahn,1
Others,German,ahnung,8
Others,German,ahren,1
Others,German,aka,3
Others,German,akad,10
Others,German,akadem,2
Others,German,akademia,1
Others,German,akademie,13
Others,German,akademieprojekt,1
Others,German,akademiker,37
Others,German,akademikerin,7
Others,German,akademikerkind,2
Others,German,akkreditierung,2
Others,German,akkulaufzeit,1
Others,German,akt,3
Others,German,akteur,10
Others,German,aktienmarkt,1
Others,German,aktion,49
Others,German,aktionsaufruf,3
Others,German,aktionskonferenz,11
Others,German,aktionsplanung,1
Others,German,aktionstag,7
Others,German,aktionstreffen,1
Others,German,aktivenkonferenz,1
Others,German,aktiventagung,1
Others,German,aktivismu,2
Others,German,aktivist,5
Others,German,aktivität,5
Others,German,aktualität,2
Others,German,akzent,1
Others,German,akzentuierung,1
Others,German,akzeptanz,1
Others,German,alarm,1
Others,German,albrecht,1
Others,German,aldi,1
Others,German,alex,2
Others,German,alexander,5
Others,German,alg,1
Others,German,ali,1
Others,German,alibi,1
Others,German,alkohol,1
Others,German,all,2
Others,German,allererste,1
Others,German,allerersten,1
Others,German,allerletztes,1
Others,German,allgemeinbevölkerung,1
Others,German,allgäu,1
Others,German,alliance,1
Others,German,allianz,2
Others,German,allmacht,2
Others,German,alltag,12
