Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
Unknown,German,punkt,17,forschung,8,9,0
PostDoc,German,promotion,30,promotion,14,8,8
PhDStudent,German,promotion,16,promotion,7,6,3
Prof,German,promotion,33,promotion,20,7,6
Others,German,promotion,31,promotion,16,12,3
Unknown,German,promotion,42,promotion,28,11,3
PostDoc,German,vertrag,30,vertrag,21,8,1
Prof,German,vertrag,13,vertrag,7,4,2
Others,German,vertrag,14,vertrag,11,3,0
Unknown,German,vertrag,28,vertrag,14,10,4
PostDoc,German,projekt,29,promotion,19,6,4
Prof,German,projekt,14,promotion,10,3,1
Others,German,projekt,15,promotion,9,3,3
PostDoc,German,zeit,29,zeit,21,5,3
Prof,German,zeit,21,zeit,16,4,1
Others,German,zeit,17,zeit,8,7,2
Unknown,German,zeit,13,zeit,7,5,1
PostDoc,German,professoren,27,professur,22,3,2
Prof,German,professoren,17,professur,13,2,2
Unknown,German,professoren,14,professur,12,2,0
PostDoc,German,mitarbeiter,27,arbeit,20,0,7
Prof,German,mitarbeiter,22,arbeit,13,6,3
Others,German,mitarbeiter,24,arbeit,18,2,4
Unknown,German,mitarbeiter,13,arbeit,10,2,1
PostDoc,German,prof,26,professur,17,4,5
Prof,German,prof,19,professur,11,2,6
Others,German,prof,15,professur,10,3,2
Unknown,German,prof,19,professur,9,5,5
PostDoc,German,systems,24,system,14,4,6
Prof,German,systems,11,system,11,0,0
Unknown,German,systems,12,system,10,2,0
PostDoc,German,forschung,24,forschung,16,2,6
Prof,German,forschung,22,forschung,10,1,11
Unknown,German,forschung,13,forschung,7,4,2
PostDoc,German,profs,23,professur,15,5,3
Prof,German,profs,23,professur,14,2,7
PostDoc,German,finanzierung,23,finanzierung,19,3,1
Prof,German,finanzierung,20,finanzierung,15,4,1
Others,German,finanzierung,17,finanzierung,15,2,0
Unknown,German,finanzierung,15,finanzierung,12,3,0
PostDoc,German,bedingungen,23,chance,19,2,2
PhDStudent,German,bedingungen,14,chance,13,0,1
Prof,German,bedingungen,15,chance,11,2,2
Others,German,bedingungen,18,chance,15,1,2
PostDoc,German,argument,23,thema,17,4,2
Prof,German,argument,18,thema,15,3,0
Unknown,German,argument,13,thema,10,2,1
PD,German,argument,14,thema,13,1,0
PostDoc,German,buch,22,amp,3,6,13
PostDoc,German,reform,22,promotion,14,4,4
Prof,German,reform,28,promotion,17,6,5
Others,German,reform,37,promotion,20,8,9
PostDoc,German,leben,21,nachwuchs,11,6,4
Prof,German,leben,16,nachwuchs,9,6,1
Others,German,leben,18,nachwuchs,7,10,1
Unknown,German,leben,27,nachwuchs,9,17,1
PostDoc,German,interview,21,promotion,2,5,14
Prof,German,interview,15,promotion,2,1,12
Others,German,interview,13,promotion,1,7,5
PostDoc,German,kosten,21,ergebnis,20,0,1
Prof,German,kosten,18,ergebnis,18,0,0
Unknown,German,kosten,13,ergebnis,9,2,2
PostDoc,German,unis,20,uni,17,1,2
Prof,German,unis,19,uni,17,2,0
Others,German,unis,14,uni,12,1,1
Unknown,German,unis,15,uni,14,0,1
PostDoc,German,karriere,20,arbeit,15,5,0
Prof,German,karriere,12,arbeit,7,4,1
Others,German,karriere,12,arbeit,10,2,0
Unknown,German,karriere,16,arbeit,8,6,2
PostDoc,German,verwaltung,19,arbeit,17,1,1
Others,German,verwaltung,12,arbeit,9,0,3
PostDoc,German,kinder,19,mensch,9,9,1
Prof,German,kinder,12,mensch,5,6,1
Unknown,German,kinder,11,mensch,6,4,1
PostDoc,German,workshop,19,arbeit,2,12,5
Prof,German,workshop,29,arbeit,0,29,0
PostDoc,German,lage,19,forschung,11,6,2
Others,German,lage,22,forschung,19,3,0
PostDoc,German,professuren,18,professur,13,2,3
Prof,German,professuren,49,professur,42,4,3
Others,German,professuren,11,professur,10,1,0
Unknown,German,professuren,22,professur,17,2,3
PD,German,professuren,14,professur,11,2,1
PostDoc,German,problem,18,jahr,16,1,1
Prof,German,problem,12,jahr,10,2,0
PostDoc,German,beitrag,18,forschung,1,3,14
Prof,German,beitrag,13,forschung,4,2,7
Others,German,beitrag,13,forschung,3,2,8
PostDoc,German,projekte,18,promotion,14,1,3
Prof,German,projekte,11,promotion,9,1,1
PostDoc,German,wissenschaftssystem,18,wissenschaft,14,0,4
Prof,German,wissenschaftssystem,21,wissenschaft,17,1,3
PostDoc,German,person,16,personal,12,2,2
Prof,German,person,14,personal,12,1,1
Unknown,German,person,14,personal,9,3,2
PostDoc,German,aspekt,16,perspektive,6,7,3
PostDoc,German,bezahlung,16,ergebnis,13,1,2
Prof,German,bezahlung,11,ergebnis,6,0,5
Others,German,bezahlung,21,ergebnis,16,3,2
Unknown,German,bezahlung,12,ergebnis,9,0,3
PostDoc,German,mittel,15,politik,11,1,3
PostDoc,German,text,14,wort,6,3,5
Others,German,text,12,wort,4,2,6
PostDoc,German,chance,14,chance,7,3,4
Unknown,German,chance,12,chance,4,5,3
PostDoc,German,moment,14,zeit,4,10,0
PostDoc,German,rolle,14,druck,5,5,4
PostDoc,German,ministerium,14,politik,12,1,1
PostDoc,German,familie,14,mensch,7,6,1
PostDoc,German,überstunden,14,zeit,12,1,1
Others,German,überstunden,12,zeit,10,2,0
Unknown,German,überstunden,11,zeit,9,2,0
PostDoc,German,kommentar,14,forschung,7,4,3
PostDoc,German,personen,14,personal,10,2,2
PostDoc,German,bereich,14,bereich,9,5,0
Unknown,German,bereich,15,bereich,12,2,1
PostDoc,German,gehalt,14,forschung,10,3,1
Others,German,gehalt,13,forschung,8,1,4
Unknown,German,gehalt,12,forschung,6,3,3
PostDoc,German,chef,14,nachwuchs,4,3,7
Prof,German,chef,16,nachwuchs,11,3,2
Unknown,German,chef,19,nachwuchs,11,2,6
PostDoc,German,menschen,14,mensch,8,1,5
Prof,German,menschen,13,mensch,5,2,6
Others,German,menschen,16,mensch,13,0,3
Unknown,German,menschen,28,mensch,19,4,5
PostDoc,German,mittelbau,13,politik,7,6,0
Others,German,mittelbau,14,politik,9,5,0
PostDoc,German,bund,13,amp,8,4,1
Prof,German,bund,13,amp,5,6,2
Others,German,bund,11,amp,6,3,2
PostDoc,German,kolleg,13,deutschland,5,5,3
Prof,German,kolleg,13,deutschland,8,1,4
PostDoc,German,frage,13,forschung,6,4,3
Prof,German,frage,12,forschung,8,1,3
Others,German,frage,11,forschung,4,5,2
PostDoc,German,probleme,13,jahr,11,1,1
PostDoc,German,dienst,13,forschung,9,2,2
Unknown,German,dienst,15,forschung,11,3,1
PostDoc,German,uni,13,uni,10,2,1
Prof,German,uni,11,uni,11,0,0
Unknown,German,uni,15,uni,13,0,2
PostDoc,German,wissenschaftlerinnen,13,wissenschaft,7,4,2
Others,German,wissenschaftlerinnen,13,wissenschaft,9,1,3
PostDoc,German,bild,13,forschung,5,4,4
PostDoc,German,seminar,13,deutschland,5,3,5
PostDoc,German,gesetz,13,politik,9,2,2
Prof,German,gesetz,16,politik,13,2,1
PostDoc,German,grafik,12,forschung,5,1,6
PostDoc,German,preis,12,ergebnis,11,1,0
Others,German,preis,11,ergebnis,8,2,1
PostDoc,German,institut,12,system,5,5,2
PostDoc,German,kind,12,mensch,7,5,0
PostDoc,German,verantwortung,12,chance,7,5,0
Others,German,verantwortung,11,chance,6,4,1
PostDoc,German,bildung,12,research,8,1,3
Others,German,bildung,18,research,10,0,8
Unknown,German,bildung,12,research,10,0,2
PostDoc,German,institution,12,system,10,1,1
PostDoc,German,strukturen,12,system,11,0,1
PostDoc,German,nachwuchs,12,nachwuchs,6,5,1
Prof,German,nachwuchs,11,nachwuchs,5,4,2
PostDoc,German,ergebnisse,12,ergebnis,5,7,0
PostDoc,German,sache,12,jahr,5,3,4
PostDoc,German,perspektiven,11,perspektive,5,0,6
PostDoc,German,perspektive,11,perspektive,3,5,3
PostDoc,German,themen,11,forschung,7,1,3
PostDoc,German,rektor,11,professur,4,4,3
PostDoc,German,dauerstellen,11,nachwuchs,10,1,0
Prof,German,dauerstellen,11,nachwuchs,10,1,0
PostDoc,German,arbeitgeber,11,arbeit,8,1,2
Others,German,arbeitgeber,11,arbeit,10,0,1
PostDoc,German,grundfinanzierung,11,finanzierung,10,0,1
Prof,German,grundfinanzierung,17,finanzierung,14,2,1
Others,German,grundfinanzierung,19,finanzierung,16,1,2
PostDoc,German,weg,11,track,5,4,2
Prof,German,weg,12,track,7,4,1
Others,German,weg,18,track,10,6,2
Unknown,German,weg,11,track,7,2,2
Prof,English,professors,12,professur,8,2,2
Prof,German,argumente,16,thema,14,0,2
Others,German,argumente,12,thema,8,1,3
Prof,German,promovierenden,14,promotion,13,1,0
Prof,German,idee,13,perspektive,6,3,4
Prof,German,community,11,gesellschaft,3,6,2
Prof,German,ausbildung,11,research,5,2,4
Others,English,jobs,15,arbeit,7,2,6
Others,German,jobs,18,arbeit,12,2,4
Unknown,German,jobs,25,arbeit,14,5,6
Others,German,türchen,24,mensch,23,0,1
Others,German,verträge,19,vertrag,18,1,0
Unknown,German,verträge,12,vertrag,9,3,0
Others,German,studium,18,hochschule,10,4,4
Unknown,German,studium,20,hochschule,11,1,8
Others,German,programm,16,forschung,7,4,5
Others,German,betrieb,14,arbeit,12,1,1
Unknown,German,betrieb,14,arbeit,12,0,2
Others,German,universität,13,hochschule,10,1,2
Unknown,German,universität,13,hochschule,12,0,1
Others,German,hannas,11,hanna,5,3,3
Others,German,studierenden,11,hochschule,6,3,2
Others,German,präsidentin,11,politik,5,5,1
Others,German,beschäftigten,11,arbeit,5,5,1
Unknown,English,wert,30,ergebnis,14,16,0
Unknown,English,eu,23,jahr,3,20,0
Unknown,English,kuzey,22,tag,10,12,0
Unknown,English,kuzey ali,19,tag,18,0,1
Unknown,German,kuzey ali,20,tag,20,0,0
Unknown,German,vollksverpetzer,15,nachwuchs,0,15,0
Unknown,German,ali,14,amp,0,0,14
Unknown,German,staat,13,situation,13,0,0
Unknown,German,frau,12,druck,6,1,5
Unknown,German,lehrer,11,professur,7,2,2
Unknown,German,beruf,11,forschung,6,3,2
Unknown,German,tag,11,tag,4,4,3
Unknown,German,account,11,forschung,8,2,1
Unknown,German,grund,11,chance,7,4,0
